country,category,text
Thailand,prod,M365 Copilot · Civil Service
Thailand,prod,Check the Photos of government officials · Civil Service
Turkiye,prod,"Kariyer Kapısı: A career platform developed through e-Government integration to enhance merit and competence in employment and to share job and internship postings with the public in an effective, transparent, and reliable manner · Civil Service"
Turkiye,prod,"Kamu Personel Bilgi Sistemi: The Public Personnel Information System (KPBS/PBS) is a system operated by the Presidency of Strategy and Budget that centralizes all data related to public sector employees—including personnel records, appointments, staffing, leave, and disciplinary actions—in a centralized digital platform. Its objectives are to reduce bureaucracy, save time and labor, lower error rates, and provide efficient and transparent human resources management · Civil Service"
Turkiye,prod,Kariyer kapısı · Civil Service
Turkiye,prod,Public Personnel Information System · Civil Service
Uganda,prod,"AI-HR ASSISTANT ;- This is a chatbot embedded in our Electronic Document Management System that supports HR related queries, consultations about staff administration"
Uruguay,prod,Agesic - AI-based automation of ticket assignment in Agesic's ServiceDesk system
West Bank and Gaza,prod,no applications
Australia,tax,"Documents Register Agent.

Finance developed the Document Register Agent (DRA) an AI-enabled tool that supports a business area to extract and record key information from documents. It uses AI and automation to extract key information from documents and store it in a consistent format. DRA was developed to improve access to historical records, reduce duplication of work, and address problems caused by broken links, inconsistent document formats and limited searchability · Public Finance"
Australia,tax,"GovAI Chat.

GovAI Chat is a secure, government-controlled generative AI tool developed specifically for the Australian Public Service (APS).  
The goal of GovAI Chat is to give public servants access to the advanced AI capabilities of a contemporary chat interface tailored to the APS context – with the security, compliance, and public sector knowledge embedded in the GovAI environment · Public Finance"
Australia,tax,Tax Time Nudging – help reduce taxpayer compliance costs and improve the efficiency of the tax system · Tax
Australia,tax,MyID Fraud Detection - myID digital platform provides an easy and secure way for individuals to prove their identity and access a range of government online services. We use AI to scan all myID accounts to identify and risk score the likelihood of digital identity theft (third-party fraud) · Tax
Australia,tax,AI-assisted Law Interpretation and Insight – AI learns from law frameworks and precedential rulings to suggest correct application of the law. This helps clients understand and comply with legislation correctly and helps case officers make consistent decisions · Tax
Austria,tax,"Fraud Detection - Employee tax assessment, Child benefit and many more · Public Finance"
Austria,tax,Digitization of land registries · Public Finance
Austria,tax,for everything · Public Finance
Austria,tax,Predictive Analytics - Fraud Detection · Tax
Austria,tax,TMIS Ecosystem · Tax
Belgium,tax,Artificial intelligence for social fraud detection by the National Social Security Office (RSZ)
Benin,tax,CUSTOMS WEBB - Fraud detection in customs declarations - customs information system · Public Finance
Benin,tax,eRepertoire · Public Finance
Benin,tax,SECUROUTE - detection of deviant behavior in road checks · Public Finance
Benin,tax,Chatbot for inquiries about the procedure · Procurement
Benin,tax,Voice assistant for information gathering · Procurement
Benin,tax,Analysis of submitted documents · Procurement
Brazil,tax,Tax Collection
Burkina Faso,tax,"BeatMonitor, used by the copyright office to detect the use of creative works on TV, radio, and in bars and restaurants, and to generate a dashboard that facilitates royalty distribution"
Cambodia,tax,"GDT Chatbot – BEAURAMEI, it works as an official digital service to provide tax-related information, announcements, and general assistance to the public 24H/7 · Tax"
Cambodia,tax,"GDT Lucky Draw Bot, it operates the GDT Telegram Lucky Draw Bot as an official digital service to allow users to conveniently submit invoices or receipts paid to businesses, participate in the tax lucky draw program, and receive related tax information and announcements · Tax"
Canada,tax,"Public Service and Procurement Canada’s GC Translate: A self-service language hub that provides employees with access to a variety of secure, real-time AI-driven language tools, trained with Canadian data"
Canada,tax,Employment and Social Development’s Temporary Foreign Worker Program (TFWP) Labor Market Impact Assessment (LMIA) and Fraud Detection: The project aims to develop an RPA/AI-generated report that enhances TFWP officers' efficiency in reviewing LMIA by automating data analysis and identifying potential fraud
Canada,tax,"Microsoft Copilot: Act as a ""virtual assistant"" to improve productivity by executing tasks automatically or suggesting solutions based on artificial intelligence · Procurement"
Canada,tax,Digital Identity Verification · Tax
Canada,tax,"Genni - Provide a secure Protected B GenAI platform for personal productivity, integration into business flows with RAG and system prompt capabilities · Tax"
Canada,tax,Custom tool for proof of concept purpose: Fraud detection proof of concept · Public Finance
Canada,tax,automated risk assessment tool · Tax
Chile,tax,Predictive model for proactive inspections by the Labor Directorate (DT). Objective: Increase the effectiveness of proactive inspections
Chile,tax,LLM Observatory Tool - Detection of irregularities in procurement processes · Procurement
Chile,tax,Agent to support the evaluation of tenders · Procurement
Chile,tax,Price comparator - Price comparison by matching products across purchasing channels and comparing with the market · Procurement
Chile,tax,Content search engine for the www.sii.cl website · Tax
Chile,tax,Chatbot supporting case-law research · Tax
Chile,tax,PoC for developing an API with AI · Tax
Chile,tax,Agent-assisted tender evaluator - Automatically evaluate public tender offers to determine the winning bid based on the selection criteria · Procurement
Chile,tax,LLM Observatory - Detection of irregularities in procurement processes · Procurement
Chile,tax,Price comparison - matching products across purchasing channels and the market to identify inefficiencies in public procurement · Procurement
Czechia,tax,AI pilot project in the central filing office of the Ministry of Interior for distributing delivered digital submissions
Czechia,tax,Anakonda - automation of funds targeting regional development · Procurement
Czechia,tax,Checker -  automated evaluation of requests for funds targeting low amount contracts · Procurement
Czechia,tax,Meeting minutes automation · Procurement
Czechia,tax,"POC ADAM - The aim of the service was to develop, test, and evaluate a functional prototype of an internal chatbot with AI elements, based on selected implementation structure documents, with a focus on error rate. The chatbot is intended to answer questions, provide · Tax"
Czechia,tax,Zakazky.gov - AI assistant for searching from within currently available public contracts · Procurement
Czechia,tax,Checker - automation of document validation of small public contracts · Procurement
Greece,tax,"GEMINI – Tax data and other relevant economic data, data sources, legislation, complex questions regarding legislation, tax simulations based on special designed prompts · Tax"
Greece,tax,"CHATGPT - inquiries concerning legislation and several special tax issues , best practices in EU · Tax"
Greece,tax,"COPILOT - Tax data and other relevant economic data, data sources, legislation, complex questions regarding legislation, tax simulations · Tax"
Hungary,tax,"Personal Income Tax Chatbot, for answering questions that the taxpayers ask from our customer service · Tax"
Hungary,tax,"CustomGPT for eVAT and Onlne Invoice systems, the main purpose is to give technical support for programmers using these systems · Tax"
Hungary,tax,MiniMaxAI/MiniMax-M2.5 - Accounting rule base optimalization for reporting consolidation · Public Finance
Hungary,tax,IBM Watson – Analysis and prediction · Public Finance
Hungary,tax,Internal developed ML model - Forecasting · Public Finance
Hungary,tax,On-site inspection selection support · Tax
Hungary,tax,X-ray image analysis support of customs inspection · Tax
Hungary,tax,Invoice item categorisation · Tax
Jordan,tax,Smart declarations system · Tax
Jordan,tax,Smart assistant for the Income and Sales Tax Department---AI Chat · Tax
Jordan,tax,Using artificial intelligence in declarations · Tax
Jordan,tax,Smart assistant for the Income and Sales Tax Department · Tax
Kazakhstan,tax,AI assistant for generating technical specifications · Procurement
Lesotho,tax,Customer Relationship Management Gen AI chatbot - customer engagements · Tax
Lesotho,tax,Invoice Anomalies Detection Predictive ML Model - Detection of fraudulent VAT invoices · Tax
Lesotho,tax,Non-Fillers Predictor ML Model - Predict taxpayers likely not to file in the next period · Tax
Malaysia,tax,Income Tax Fraud Detection
Mexico,tax,Customs risk model
Nepal,tax,Chatbot for General Public to know about taxation Process · Tax
Nepal,tax,Risk Engine · Tax
Nepal,tax,Report Engine · Tax
Panama,tax,Microsoft Copilot · Procurement
Panama,tax,ChatGPT · Public Finance
Panama,tax,COPILOT · Public Finance
Panama,tax,Gemini · Public Finance
Panama,tax,Pre-filling of sworn declarations · Tax
Panama,tax,"Prompting Agent (in pilot) - a model trained to answer questions related to Public Procurement processes, limited to current regulations. The expectation is to make it available to answer general inquiries, reducing the operational load on the Customer Service Directorate · Procurement"
Panama,tax,"2nd Pilot about to go live - 'Pre-analysis of technical criteria for the review workflow used by the Exceptional Procedure Directorate' (PREDIPEC), which automatically identifies suspected contract splitting, content analysis, and patterns across procurement documents · Procurement"
Panama,tax,3rd Pilot about to go live - a 'Terms of Reference Template Generator' that enforces the required technical structure within the legal context. This will reduce the level of technical queries routed to specialists at the DGCP (General Directorate of Public Procurement) · Procurement
Panama,tax,"Data exploitation system currently in operation, · Tax"
Panama,tax,Anomaly detector · Tax
Panama,tax,Risk scoring · Tax
Peru,tax,"Agents to evaluate and propose improvements to the routine control selection system. Reviews ML models, identifies improvement opportunities, and proposes algorithm corrections for data scientists to review, in order to improve the risk management model · Tax"
Peru,tax,RAG for querying institutional documents in oversight/audit processes · Tax
Peru,tax,Agent for handling appeal requests · Tax
Peru,tax,ANDREA · Public Finance
Peru,tax,MATIAS · Public Finance
Peru,tax,AI platform for Conectamef · Public Finance
Philippines,tax,"Gemini for Workspace – AI-powered productivity and document assistance for drafting communications, summarizing documents, generating reports, and supporting administrative workflows · Procurement"
Philippines,tax,"Project (Managed Intelligent Network for Advanced Insight)  MINAI- an internal Chatbot for DBM, where in we have ingested DBM documents, such us the Budget, legal documents, Office order and circulars. then that's the time that we could utilized the system · Public Finance"
Philippines,tax,"Subscription to Single Content Management System (SCMS) with Chatbot Integration-The Department of Budget and Management (DBM) proposes the Subscription to a Single Content Management System (CMS) with Chatbot Integration to unify, modernize, and secure the management of DBM-managed websites. The project will consolidate multiple portals under a centralized content management platform and integrate AI-powered chatbots to enhance accessibility, transparency, and user engagement across DBM’s digital platforms.
This initiative directly supports the Open Government Partnership (OGP) transparency goals by providing citizens and stakeholders with faster, more reliable access to budget and financial information, while ensuring a consistent brand identity and efficient content governance across all DBM online properties · Public Finance"
Philippines,tax,"Revie, BIR's chatbot/digital assistant: Customer Service and Letter of authority (LOA) verifier · Tax"
Philippines,tax,Online Registration and Update System (ORUS) uses a registration AI that uses Optical Character Registration (OCR) · Tax
Philippines,tax,BIR's Risk-based audit selection tool is a predictive AI which uses ML algorithms to analyze tax returns to predict which taxpayers are most likely to have under-declared · Tax
Philippines,tax,Subscription to Managed Intelligent Network for Advanced Insights (MINAI) Solution for the Department of Budget and Management (DBM) · Public Finance
Philippines,tax,Subscription to Single Content Management System with AI Chatbot Integration · Public Finance
Philippines,tax,Renewal of Subscription to Budget Data Analytics and Data Exchange Platform License and Support · Public Finance
Philippines,tax,"Risk-Based Audit Selection System. Per RMO 1-2026, it uses and identifies statistical outliers by comparing a taxpayer's data against industry benchmarks · Tax"
Philippines,tax,"Revie: Using Natural Language Processing (NLP), it filters/categorizes taxpayer queries using IRIS data to verify user's status before escalating a workflow to a human revenue officer · Tax"
Poland,tax,Anonymizer removes PII from documents before their publication · Procurement
Poland,tax,Basic metadata extractor pulls data from a PDF judgment and places it into an Excel file · Procurement
Poland,tax,Preliminary formal assessment of an appeal. Metadata extraction from numerous documents of various structures – · Procurement
Portugal,tax,Robotic Process Automation (RPA) · Public Finance
Portugal,tax,"AI-powered Document Intelligence Assistant that enables users to query, analyze, and automatically summarize collections of documents with traceable sources · Public Finance"
Portugal,tax,"S3CP - Public sector expert system designed to validate compliance of control processes, ensuring sound public financial management, transparency, and accountability within a budgetary entity or across the public administration · Public Finance"
Portugal,tax,Ebalcão Inteligente – Support triage and response at the digital service desk (ebalcão) · Tax
Portugal,tax,CATIA - Virtual Assistant · Tax
Portugal,tax,CATIA – Virtual Chat Bot · Tax
Saudi Arabia,tax,"Rased AI Product – Zakat, Tax and Customs Authority:
Rased is an artificial intelligence solution launched by the Zakat, Tax and Customs Authority to forecast incoming and outgoing vehicle movements at land ports. It uses advanced algorithms and predictive analytics based on internal and external factors affecting vehicle flow, providing forecasts at the daily and hourly levels. The solution supports proactive border readiness, improves operational planning and resource allocation, reduces congestion, enhances security, and improves the experience of travelers and land freight operators"
Saudi Arabia,tax,"Generative AI smart assistant that provides beneficiaries with direct access to information on national systems, primarily the Government Tenders and Procurement Law and its implementing regulations, using an approved knowledge base · Procurement"
Saudi Arabia,tax,An AI-enabled smart assistant available on Etimad Platform to provide instant responses to user inquiries and support beneficiaries in accessing information related to government procurement and financial services · Procurement
Saudi Arabia,tax,Etimad Developer Portal / Government Contract Data Inquiry API - API-based access to reliable and updated government contract data for integration with beneficiary systems · Procurement
Saudi Arabia,tax,"Etimad GPT - Generative AI smart assistant that provides beneficiaries with direct access to information on national systems, primarily the Government Tenders and Procurement Law and its implementing regulations, using an approved knowledge base · Public Finance"
Saudi Arabia,tax,An AI-enabled smart assistant available on Etimad Platform to provide instant responses to user inquiries and support beneficiaries in accessing information related to government procurement and financial services · Public Finance
Saudi Arabia,tax,Etimad Developer Portal / Government Contract Data Inquiry API - API-based access to reliable and updated government contract data for integration with beneficiary systems · Public Finance
Saudi Arabia,tax,"Rased is an artificial intelligence solution launched by the Zakat, Tax and Customs Authority to forecast incoming and outgoing vehicle movements at land ports. It uses advanced algorithms and predictive analytics based on internal and external factors affecting vehicle flow, providing forecasts at the daily and hourly levels. The solution supports proactive border readiness, improves operational planning and resource allocation, reduces congestion, enhances security, and improves the experience of travelers and land freight operators · Tax"
Saudi Arabia,tax,AskZiyad (Public Chatbot – taxpayer support and guidance) · Tax
Saudi Arabia,tax,AI Product Classification System (HS code classification automation) · Tax
Saudi Arabia,tax,"Etimad GPT - Generative AI smart assistant that provides beneficiaries with direct access to information on national systems, primarily the Government Tenders and Procurement Law and its implementing regulations, using an approved knowledge base · Procurement"
Saudi Arabia,tax,"Etimad GPT Generative AI smart assistant that provides beneficiaries with direct access to information on national systems, primarily the Government Tenders and Procurement Law and its implementing regulations, using an approved knowledge base · Public Finance"
Saudi Arabia,tax,"Rased - AI-based operational product for managing border crossings by forecasting incoming and outgoing vehicle traffic using historical, weather, seasonal and operational data; supports port readiness, resource allocation, shift scheduling and congestion reduction · Tax"
Saudi Arabia,tax,ERAD: Taxation system · Tax
Saudi Arabia,tax,"Ask Ziyad digital assistant - AI digital assistant supporting ZATCA beneficiaries with zakat, tax and customs information and service guidance · Tax"
Singapore,tax,"Instruction Manual (IM) Query Chatbot, allows users to query on procurement IM · Procurement"
Singapore,tax,Specification Drafter to allow users to generate a first draft of requirement specifications using a combination of historical requirement specifications and users prompts · Procurement
Singapore,tax,"Small Value Purchase (SVP) Assistant helps users navigate small value procurement rules and processes, providing direct links to relevant procurement guidelines, internal workflow procedures, and user guides · Procurement"
Singapore,tax,Virtual Intelligent Chat Assistant (VICA) - provide answers to public enquries · Public Finance
Singapore,tax,Virtual Intelligent Chat Assistant (VICA): AI powered IRAS Bot to automate and enhance taxpayer enquiry handling · Tax
Singapore,tax,Intelligent Network Analysis Tool (iNAT): In house network analysis tool that maps and analyses taxpayer relationships to strengthen compliance and investigative work · Tax
Singapore,tax,Smart Writing Engine for Emails (SWEE): In house GenAI writing assistant · Tax
Singapore,tax,Procurement Workload Forecast Dashboard - Allows agencies to do a 6 months forecast of possible workload based on past trends (2 or 3 years). Also help agency identify possible spike in procurement workload in the upcoming month(s) so that adequate manpower can be planned beforehand · Procurement
Singapore,tax,Category Code Recommender - Automatically recommends the most relevant procurement category code · Procurement
Singapore,tax,Procurement Documents Drafter - Allows agencies to generate documents based on their chosen documents such as Specifications and Approval of Requirements · Procurement
Singapore,tax,AI for FI - A GenAI custom-built python application that empowers finance officers or business users to obtain quick insights (in the form of natural language narrative and visualisation charts) from finance-related data by asking natural language queries without requiring any prior knowledge of structured query language (SQL) or data analytics · Public Finance
Singapore,tax,Cumulus - PRISM Machine Learning for Predicting Late Supplier Payments. Machine Learning Model to analyse historical patterns within supplier invoices and predict late supplier payments. This will allow agencies to take pre-emptive actions to mitigate the risk of late supplier payments and to achieve WOG KPI on prompt payment · Public Finance
Singapore,tax,"AGEM - Audit Insights & Reporting (AIR) Tools. GenAI Bots used to detect discrepancies in transactions, accuracy and completeness of documentation, and checks against SOPs to detect non-compliance against policy and best practices · Public Finance"
Tajikistan,tax,accounting of individuals · Tax
Tajikistan,tax,Accounting for individuals · Tax
Tajikistan,tax,"Registration in the ""My Tax"" mobile application · Tax"
Tajikistan,tax,Registration as an individual entrepreneur · Tax
Thailand,tax,Copilot · Procurement
Thailand,tax,ChatGPT · Procurement
Thailand,tax,"Chat GPT – research, analyze data · Public Finance"
Thailand,tax,"Gemini – research, analyze data · Public Finance"
Thailand,tax,Notebooklm – presentation · Public Finance
Thailand,tax,Nong Aree: Provides tax-related inquiry services for the public · Tax
Thailand,tax,RD - DocChat: Answers questions based on relevant documents · Tax
Thailand,tax,RD - DocGen: Generates official government correspondence · Tax
Turkiye,tax,Summarization of complaint appeal · Procurement
Turkiye,tax,AI supported accounting and Advanced Analytic Platform to detect anomalies on public expenditure · Public Finance
Turkiye,tax,SARP: A computer program known as the “Fake Document Risk Analysis Program” (SARP) has been developed to analyze the risk profiles of taxpayers who issue fake invoices using a quantitative measurement method. This program calculates a monthly risk score for all active value-added tax taxpayers in Türkiye · Tax
Turkiye,tax,"OZELGE Project: This project aims to identify similar records by analyzing data in the ruling database using Artificial Intelligence, automate manual query processes, and ensure full digital integration with the Revenue Administration’s Ruling Commission. By developing an automation infrastructure capable of quickly providing the most appropriate and accurate responses to taxpayer requests, the project aims to enhance operational efficiency while maximizing tax compliance and taxpayer satisfaction · Tax"
Turkiye,tax,AI Supported Accounting and Advanced Analytic Platform to detect anomalies on public expenditure · Public Finance
Turkiye,tax,"Ozelge: This project aims to identify similar records by analyzing data in the ruling database using Artificial Intelligence, automate manual query processes, and ensure full digital integration with the Revenue Administration’s Ruling Commission. By developing an automation infrastructure capable of quickly providing the most appropriate and accurate responses to taxpayer requests, the project aims to enhance operational efficiency while maximizing tax compliance and taxpayer satisfaction · Tax"
Uganda,tax,"Intergrated Financial Management System (Oracle Enterprise Business Suite) Configuration Support – an NLP agent extracts a snapshot of the current system configuration state, covering workflow and business logic, security rules, role segregation, and cross-MDA data access conditions. It then analyses existing configurations to recommend workflow optimisations, security hardening measures, and data validation checks aligned with best practices. Rule-based integrity checks validate that proposed configurations will not violate data integrity, security, or compliance requirements. AI-assisted test scripts and data scenarios are generated to validate new configurations in the test environment before migration to production · Public Finance"
Uganda,tax,"Electronic Document and Records Management System; AI-assisted document review, upload, and classification across systems; personalized document search and preference-based notifications; and AI-powered retrieval and summarisation of archived documents—including policies and treasury instructions—with results linked directly to source documents · Public Finance"
Uganda,tax,"AI-assisted call center dynamically generates accurate, policy-compliant responses to citizen enquiries by processing natural-language prompts against Treasury knowledge bases and operational workflows. The system routes complex questions to the appropriate specialist, and provides agents with real-time suggested replies, reducing average handle times and improving overall service quality · Public Finance"
Uganda,tax,Image analysis for NII · Tax
Ukraine,tax,No AI projects are currently deployed or piloted · Public Finance
Uruguay,tax,"ANCAP (National Fuel, Alcohol and Portland Cement Administration) - Demand forecasting for diesel, gasoline, and liquefied petroleum gas (LPG)"
Uruguay,tax,Phyton · Public Finance
Uruguay,tax,Chat GPT / Copilot · Public Finance
West Bank and Gaza,tax,"power BI   for reports  from payroll system , financial  system  ,  tax system and customs  · Public Finance"
West Bank and Gaza,tax,Power BI · Tax
